Stock1,Stock2
ABFRL,DMART
ADANIPORTS,CONCOR
ALKEM,SYNGENE
APLLTD,AUROPHARMA
APLLTD,BIOCON
APLLTD,SANOFI
APOLLOHOSP,FORTIS
ASIANPAINT,HAVELLS
ASIANPAINT,MARICO
ASIANPAINT,PGHH
ASIANPAINT,RAJESHEXPO
ASIANPAINT,TATACONSUM
ASIANPAINT,UBL
ASIANPAINT,VBL
AUBANK,MFSL
AUBANK,MUTHOOTFIN
AUBANK,PEL
AUBANK,YESBANK
AUROPHARMA,SANOFI
AXISBANK,INDUSINDBK
AXISBANK,YESBANK
BAJAJ-AUTO,MRF
BAJAJHLDNG,CANBK
BAJAJHLDNG,FEDERALBNK
BAJAJHLDNG,ICICIBANK
BAJAJHLDNG,UNIONBANK
BAJFINANCE,YESBANK
BALKRISIND,ENDURANCE
BANDHANBNK,EDELWEISS
BANDHANBNK,HDFCAMC
BANDHANBNK,ICICIGI
BANDHANBNK,MUTHOOTFIN
BANDHANBNK,YESBANK
BANKBARODA,YESBANK
BANKINDIA,HUDCO
BANKINDIA,PNB
BANKINDIA,YESBANK
BATAINDIA,MARICO
BATAINDIA,PGHH
BBTC,WHIRLPOOL
BERGEPAINT,EMAMILTD
BERGEPAINT,GODREJAGRO
BERGEPAINT,GODREJIND
BIOCON,SANOFI
BIOCON,TORNTPHARM
BOSCHLTD,EICHERMOT
BOSCHLTD,MARUTI
BPCL,CASTROLIND
BPCL,IGL
BPCL,MGL
BPCL,PETRONET
BRITANNIA,VBL
CANBK,YESBANK
CASTROLIND,IGL
CASTROLIND,MGL
CASTROLIND,RELIANCE
COLPAL,DABUR
COLPAL,HINDUNILVR
CROMPTON,EMAMILTD
CUB,EDELWEISS
CUB,HDFCLIFE
CUB,ICICIGI
CUB,KOTAKBANK
CUB,LICHSGFIN
CUB,MFSL
CUB,SBICARD
CUB,YESBANK
DLF,LT
DLF,OBEROIRLTY
DLF,PRESTIGE
DMART,HAVELLS
DMART,RAJESHEXPO
DMART,VBL
EDELWEISS,HDFC
EDELWEISS,HDFCAMC
EDELWEISS,HDFCLIFE
EDELWEISS,IBULHSGFIN
EDELWEISS,ICICIGI
EDELWEISS,ICICIPRULI
EDELWEISS,KOTAKBANK
EDELWEISS,LICHSGFIN
EDELWEISS,MANAPPURAM
EDELWEISS,MFSL
EDELWEISS,MUTHOOTFIN
EDELWEISS,NAM-INDIA
EDELWEISS,RBLBANK
EDELWEISS,SBICARD
EDELWEISS,YESBANK
EICHERMOT,MARUTI
EMAMILTD,GODREJIND
EMAMILTD,VOLTAS
FEDERALBNK,YESBANK
GAIL,IOC
GICRE,YESBANK
GMRINFRA,LT
GMRINFRA,OBEROIRLTY
GMRINFRA,PRESTIGE
GODREJAGRO,GODREJIND
GODREJCP,MARICO
GODREJCP,NESTLEIND
GODREJCP,VBL
GODREJCP,VGUARD
GSPL,HINDPETRO
GUJGASLTD,HINDPETRO
GUJGASLTD,IOC
HAVELLS,TATACONSUM
HAVELLS,VBL
HCLTECH,TCS
HDFC,HDFCBANK
HDFC,KOTAKBANK
HDFC,LICHSGFIN
HDFC,YESBANK
HDFCAMC,HDFCLIFE
HDFCAMC,MANAPPURAM
HDFCAMC,MUTHOOTFIN
HDFCAMC,YESBANK
HDFCBANK,KOTAKBANK
HDFCBANK,LICHSGFIN
HDFCBANK,YESBANK
HDFCLIFE,ICICIGI
HDFCLIFE,MUTHOOTFIN
HDFCLIFE,SBICARD
HDFCLIFE,YESBANK
HINDALCO,VEDL
HINDPETRO,RELIANCE
HINDUNILVR,NESTLEIND
HINDUNILVR,VBL
HUDCO,L&TFH
HUDCO,PNB
HUDCO,YESBANK
IBULHSGFIN,MANAPPURAM
IBULHSGFIN,YESBANK
ICICIBANK,YESBANK
ICICIGI,MUTHOOTFIN
ICICIGI,NAM-INDIA
ICICIGI,YESBANK
ICICIPRULI,MUTHOOTFIN
ICICIPRULI,RECLTD
ICICIPRULI,SBICARD
ICICIPRULI,YESBANK
IDEA,INDUSTOWER
IGL,MGL
INDUSINDBK,PNB
ISEC,YESBANK
KOTAKBANK,LICHSGFIN
KOTAKBANK,YESBANK
L&TFH,YESBANK
LICHSGFIN,SBICARD
LICHSGFIN,YESBANK
LUPIN,SANOFI
M&MFIN,YESBANK
MANAPPURAM,RBLBANK
MARICO,PGHH
MARICO,RAJESHEXPO
MARICO,TATACONSUM
MARICO,UBL
MARICO,VBL
MARICO,VGUARD
MCDOWELL-N,RAJESHEXPO
MFSL,SBICARD
MFSL,YESBANK
MUTHOOTFIN,NAM-INDIA
MUTHOOTFIN,RECLTD
MUTHOOTFIN,SBICARD
MUTHOOTFIN,YESBANK
NAM-INDIA,YESBANK
NATCOPHARM,TORNTPHARM
NATIONALUM,VEDL
NAUKRI,OFSS
NAVINFLUOR,PIDILITIND
NAVINFLUOR,TATACHEM
NESTLEIND,VBL
NTPC,POWERGRID
OBEROIRLTY,PRESTIGE
PGHH,TATACONSUM
PGHH,UBL
PGHH,VBL
PGHH,VGUARD
PNB,YESBANK
POWERGRID,TORNTPOWER
RAJESHEXPO,TATACONSUM
RAJESHEXPO,UBL
RAJESHEXPO,VBL
RAJESHEXPO,VOLTAS
RBLBANK,YESBANK
RECLTD,YESBANK
SANOFI,TORNTPHARM
SBICARD,YESBANK
SBILIFE,YESBANK
SBIN,YESBANK
TATACONSUM,UBL
TATACONSUM,VBL
TATACONSUM,VGUARD
TITAN,TRENT
UBL,VBL
UNIONBANK,YESBANK
VBL,VGUARD
