"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"SBIN","01-Nov-2021","30-Dec-2021","511.05","522.05","505.3","520.95","521.45","520.95","664","5121.39","987000","82500","-"
"SBIN","02-Nov-2021","30-Dec-2021","521.75","528.95","516.95","526","526.35","526","744","5847.56","1086000","99000","        521.70"
"SBIN","03-Nov-2021","30-Dec-2021","528.25","546.6","518.65","532.5","535.6","532.5","2463","19716.27","1260000","174000","-"
"SBIN","04-Nov-2021","30-Dec-2021","537.65","539.05","531.55","533.35","533.7","533.35","254","2039.81","1356000","96000","-"
"SBIN","08-Nov-2021","30-Dec-2021","537.1","537.65","520","528.45","529","528.45","1306","10339.81","1821000","465000","-"
"SBIN","09-Nov-2021","30-Dec-2021","529.8","535.65","526.15","532.55","532.85","532.55","826","6588.43","1815000","-6000","-"
"SBIN","10-Nov-2021","30-Dec-2021","527.05","531.85","525.75","527.35","526.9","527.35","515","4081.56","1872000","57000","-"
"SBIN","11-Nov-2021","30-Dec-2021","524.05","524.65","509.9","513.3","514","513.3","1389","10771.82","2311500","439500","-"
"SBIN","12-Nov-2021","30-Dec-2021","514.6","516.65","506.7","515.5","515.25","515.5","1494","11484.82","3033000","721500","-"
"SBIN","15-Nov-2021","30-Dec-2021","516.85","518.75","509.5","510.6","511.5","510.6","1441","11069.61","4077000","1044000","-"
"SBIN","16-Nov-2021","30-Dec-2021","509.05","509.5","496.9","498.2","497.15","498.2","3036","22875.94","6568500","2491500","-"
"SBIN","17-Nov-2021","30-Dec-2021","495.65","507.8","493.45","501.15","500.95","501.15","5976","45104.03","11967000","5398500","-"
"SBIN","18-Nov-2021","30-Dec-2021","501.35","509","494.65","506.2","505.9","506.2","12583","95051.22","23107500","11140500","-"
"SBIN","23-Nov-2021","30-Dec-2021","485.45","496.75","481.55","494.25","493.95","494.25","20896","154016.28","58150500","14341500","-"
"SBIN","24-Nov-2021","30-Dec-2021","497.65","501.25","490","493.95","491","493.95","26255","196000.49","76597500","18447000","        493.15"
"SBIN","25-Nov-2021","30-Dec-2021","490.7","496.3","487.3","492.85","494.4","492.85","39916","295207.77","107148000","30550500","-"
"SBIN","26-Nov-2021","30-Dec-2021","489.5","490","467.75","470.95","470.25","470.95","27878","198869.08","110832000","3684000","-"
"SBIN","29-Nov-2021","30-Dec-2021","470.7","478.55","456.55","465.95","466.5","465.95","23965","168740.28","108874500","-1957500","        465.10"
