Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2021-11-01,BANKNIFTY,2021-12-30,39771.25,40268.65,39417.65,40181.9,40255.7,40181.9,3239,3224847000.0,79425,5675,
2021-11-02,BANKNIFTY,2021-12-30,40364.55,40397.6,39885.25,40228.65,40209.45,40228.65,2734,2746790000.0,85050,5625,
2021-11-03,BANKNIFTY,2021-12-30,40690.0,40690.0,39582.1,39657.7,39677.45,39657.7,4714,4707854000.0,94250,9200,
2021-11-04,BANKNIFTY,2021-12-30,39900.0,39925.0,39720.05,39783.9,39764.15,39783.9,845,841227000.0,95150,900,
2021-11-08,BANKNIFTY,2021-12-30,39802.8,39870.0,39219.4,39806.0,39864.25,39806.0,4223,4177855000.0000005,100600,5450,
2021-11-09,BANKNIFTY,2021-12-30,39864.25,39873.25,39522.3,39711.2,39709.4,39711.2,2201,2183936000.0,104325,3725,
2021-11-10,BANKNIFTY,2021-12-30,39416.8,39494.3,39169.9,39288.8,39270.0,39288.8,3333,3275409000.0,119875,15550,
2021-11-11,BANKNIFTY,2021-12-30,39142.0,39142.05,38626.25,38866.4,38860.4,38866.4,5255,5109767000.0,146500,26625,
2021-11-12,BANKNIFTY,2021-12-30,38950.0,39105.0,38724.0,39030.4,39027.0,39030.4,4140,4032341000.0000005,150400,3900,
2021-11-15,BANKNIFTY,2021-12-30,39134.95,39332.85,38878.1,39018.2,38978.0,39018.2,5211,5092653000.0,188800,38400,
2021-11-16,BANKNIFTY,2021-12-30,39004.75,39004.8,38473.35,38586.75,38502.0,38586.75,13882,13414807999.999998,345600,156800,
2021-11-17,BANKNIFTY,2021-12-30,38400.05,38728.0,38232.25,38315.75,38271.95,38315.75,9071,8718857000.0,396275,50675,
2021-11-18,BANKNIFTY,2021-12-30,38294.15,38473.95,38000.05,38253.7,38220.0,38253.7,21520,20549221000.0,493150,96875,
2021-11-23,BANKNIFTY,2021-12-30,37050.15,37620.0,36844.05,37424.8,37417.25,37424.8,44045,41098269000.0,967950,257575,
2021-11-24,BANKNIFTY,2021-12-30,37611.0,38030.0,37389.75,37593.0,37500.05,37593.0,72923,68813195000.0,1487500,519550,37441.95
2021-11-25,BANKNIFTY,2021-12-30,37510.0,37686.8,37275.0,37535.1,37548.0,37535.1,104368,97810740000.0,2295825,808325,
2021-11-26,BANKNIFTY,2021-12-30,37055.25,37093.75,36025.05,36157.8,36041.0,36157.8,192462,175703198000.0,2765075,469250,
2021-11-29,BANKNIFTY,2021-12-30,36230.0,36471.0,35459.0,36100.45,36062.15,36100.45,187040,168666842000.0,2512550,-252525,35976.45
